setAuthorName	setAuthorEmail	setOrganization	setExperimentTitle	setName	setDescription	setURI	setTool	setTool(Date)	addAlgorithm	addAlgorithm(URI)	setTargetClass	setStartsAtPosition	setEndsAtPosition	addPerformance	setTargetClass	setStartsAtPosition	setEndsAtPosition	addPerformance
Mengqiu Wang	mengqiu@cs.stanford.edu	Stanford University 	Question Answering (State of the art)	Tan (2015) - QA-LSTM/CNN+attention	Tan et al. (2015)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)	Tan (2015) - QA-LSTM/CNN+attention	2015	Tan (2015) - QA-LSTM/CNN+attention	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)				0.728				0.832
Mengqiu Wang	mengqiu@cs.stanford.edu	Stanford University 	Question Answering (State of the art)	dos Santos (2016) - Attentive Pooling CNN	dos Santos et al. (2016)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)	dos Santos (2016) - Attentive Pooling CNN	2016	dos Santos (2016) - Attentive Pooling CNN	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)				0.753				0.851
Mengqiu Wang	mengqiu@cs.stanford.edu	Stanford University 	Question Answering (State of the art)	Wang et al. (2016) - Lexical Decomposition and Composition	Wang et al. (2016)	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)	Wang et al. (2016) - Lexical Decomposition and Composition	2016	Wang et al. (2016) - Lexical Decomposition and Composition	http://aclweb.org/aclwiki/index.php?title=Question_Answering_(State_of_the_art)				0.771				0.845
Carreras and Màrquez 	punyakan@uiuc.edu	University of Illinois at Urbana-Champaign 	Semantic Role Labeling (State of the art)	SNoW SRL 	SNoW, ILP	http://aclweb.org/aclwiki/index.php?title=Semantic_Role_Labeling_(State_of_the_art)	SNoW SRL 	2005	SNoW SRL 	http://aclweb.org/aclwiki/index.php?title=Semantic_Role_Labeling_(State_of_the_art)				77.92				0
Carreras and Màrquez 	punyakan@uiuc.edu	University of Illinois at Urbana-Champaign 	Semantic Role Labeling (State of the art)	Pradhan	SVM	http://aclweb.org/aclwiki/index.php?title=Semantic_Role_Labeling_(State_of_the_art)	Pradhan	2005	Pradhan	http://aclweb.org/aclwiki/index.php?title=Semantic_Role_Labeling_(State_of_the_art)				77.3				0
Carreras and Màrquez 	punyakan@uiuc.edu	University of Illinois at Urbana-Champaign 	Semantic Role Labeling (State of the art)	Haghighi	MaxEnt	http://aclweb.org/aclwiki/index.php?title=Semantic_Role_Labeling_(State_of_the_art)	Haghighi	2005	Haghighi	http://aclweb.org/aclwiki/index.php?title=Semantic_Role_Labeling_(State_of_the_art)				77.04				0
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	RES 	Resnik (1995)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	RES 	2013	RES 	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				20.31				31.83
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	LC	Leacock and Chodrow (1998)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	LC	2013	LC	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				21.88				33.21
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	LIN	Lin (1998)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	LIN	2013	LIN	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				24.06				35.94
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	Random	Random guessing	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	Random	2013	Random	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				25				35.94
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	JC	Jiang and Conrath (1997)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	JC	2013	JC	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				25				35.94
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	LSA	Landauer and Dumais (1997)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	LSA	2013	LSA	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				64.38				74.8
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	Human	Average non-English US college applicant	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	Human	2013	Human	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				64.5				74.88
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	RI	Karlgren and Sahlgren (2001)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	RI	2013	RI	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				72.5				81.9
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	DS	Pado and Lapata (2007)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	DS	2013	DS	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				73				82.96
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	PMI-IR	Turney (2001)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	PMI-IR	2013	PMI-IR	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				73.75				82.96
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	PairClass	Turney (2008)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	PairClass	2013	PairClass	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				76.25				85.06
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	HSO	Hirst and St.-Onge (1998)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	HSO	2013	HSO	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				77.91				87.11
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	JS	Jarmasz and Szpakowicz (2003)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	JS	2013	JS	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				78.75				87.11
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	PMI-IR	Terra and Clarke (2003)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	PMI-IR	2013	PMI-IR	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				81.25				89.11
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	LC-IR	Higgins (2005)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	LC-IR	2013	LC-IR	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				81.25				89.11
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	CWO	Ruiz-Casado et al. (2005)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	CWO	2013	CWO	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				82.55				90.09
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	PPMIC	Bullinaria and Levy (2007)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	PPMIC	2013	PPMIC	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				85				92
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	GLSA	Matveeva et al. (2005)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	GLSA	2013	GLSA	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				86.25				92.93
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	SR	Tsatsaronis et al. (2010)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	SR	2013	SR	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				87.5				93.84
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	DC-best	Dobó and Csirik (2013)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	DC-best	2013	DC-best	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				88.75				94.72
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	LSA	Rapp (2003)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	LSA	2013	LSA	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				92.5				97.2
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	LSA	Han (2014)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	LSA	2013	LSA	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				95				98.62
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	ADW	Pilehvar et al. (2013)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	ADW	2013	ADW	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				96.25				99.22
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	PR	Turney et al. (2003)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	PR	2013	PR	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				97.5				99.7
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	TOEFL Synonym Questions (State of the art)	PCCP	Bullinaria and Levy (2012)	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)	PCCP	2013	PCCP	http://aclweb.org/aclwiki/index.php?title=TOEFL_Synonym_Questions_(State_of_the_art)				100				100
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	ESL Synonym Questions (State of the art)	Random	Random guessing	http://aclweb.org/aclwiki/index.php?title=ESL_Synonym_Questions_(State_of_the_art)	Random	2013	Random	http://aclweb.org/aclwiki/index.php?title=ESL_Synonym_Questions_(State_of_the_art)				25				40.34
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	ESL Synonym Questions (State of the art)	RES	Resnik (1995)	http://aclweb.org/aclwiki/index.php?title=ESL_Synonym_Questions_(State_of_the_art)	RES	2013	RES	http://aclweb.org/aclwiki/index.php?title=ESL_Synonym_Questions_(State_of_the_art)				32.66				48.77
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	ESL Synonym Questions (State of the art)	LC	Leacock and Chodrow (1998)	http://aclweb.org/aclwiki/index.php?title=ESL_Synonym_Questions_(State_of_the_art)	LC	2013	LC	http://aclweb.org/aclwiki/index.php?title=ESL_Synonym_Questions_(State_of_the_art)				36				50.81
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	ESL Synonym Questions (State of the art)	LIN	Lin (1998)	http://aclweb.org/aclwiki/index.php?title=ESL_Synonym_Questions_(State_of_the_art)	LIN	2013	LIN	http://aclweb.org/aclwiki/index.php?title=ESL_Synonym_Questions_(State_of_the_art)				36				50.81
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	ESL Synonym Questions (State of the art)	JC	Jiang and Conrath (1997)	http://aclweb.org/aclwiki/index.php?title=ESL_Synonym_Questions_(State_of_the_art)	JC	2013	JC	http://aclweb.org/aclwiki/index.php?title=ESL_Synonym_Questions_(State_of_the_art)				36				50.81
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	ESL Synonym Questions (State of the art)	HSO	Hirst and St.-Onge (1998)	http://aclweb.org/aclwiki/index.php?title=ESL_Synonym_Questions_(State_of_the_art)	HSO	2013	HSO	http://aclweb.org/aclwiki/index.php?title=ESL_Synonym_Questions_(State_of_the_art)				62				75.35
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	ESL Synonym Questions (State of the art)	PMI-IR	Turney (2001)	http://aclweb.org/aclwiki/index.php?title=ESL_Synonym_Questions_(State_of_the_art)	PMI-IR	2013	PMI-IR	http://aclweb.org/aclwiki/index.php?title=ESL_Synonym_Questions_(State_of_the_art)				74				85.37
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	ESL Synonym Questions (State of the art)	PMI-IR	Terra and Clarke (2003)	http://aclweb.org/aclwiki/index.php?title=ESL_Synonym_Questions_(State_of_the_art)	PMI-IR	2013	PMI-IR	http://aclweb.org/aclwiki/index.php?title=ESL_Synonym_Questions_(State_of_the_art)				80				89.97
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	ESL Synonym Questions (State of the art)	JS	Jarmasz and Szpakowicz (2003)	http://aclweb.org/aclwiki/index.php?title=ESL_Synonym_Questions_(State_of_the_art)	JS	2013	JS	http://aclweb.org/aclwiki/index.php?title=ESL_Synonym_Questions_(State_of_the_art)				82				91.42
Taher 	emailexample@aclweb.org	Sapienza University of Rome 	RG-65 Test Collection (State of the art)	ADW	Pilehvar and Navigli (2015)	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)	ADW	2015	ADW	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)				0.92				0.91
Taher 	emailexample@aclweb.org	Sapienza University of Rome 	RG-65 Test Collection (State of the art)	Y&Q	Yih and Qazvinian (2012)	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)	Y&Q	2011	Y&Q	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)				0.89				0
Taher 	emailexample@aclweb.org	Sapienza University of Rome 	RG-65 Test Collection (State of the art)	SARI	Camacho-Collados et al. (2015)	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)	SARI	2011	SARI	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)				0.88				0.91
Taher 	emailexample@aclweb.org	Sapienza University of Rome 	RG-65 Test Collection (State of the art)	ADW	Pilehvar et al. (2013)	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)	ADW	2011	ADW	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)				0.868				0.81
Taher 	emailexample@aclweb.org	Sapienza University of Rome 	RG-65 Test Collection (State of the art)	PPR	Hughes and Ramage (2007)	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)	PPR	2011	PPR	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)				0.838				0
Taher 	emailexample@aclweb.org	Sapienza University of Rome 	RG-65 Test Collection (State of the art)	SSA	Hassan and Mihalcea (2011)	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)	SSA	2011	SSA	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)				0.833				0.861
Taher 	emailexample@aclweb.org	Sapienza University of Rome 	RG-65 Test Collection (State of the art)	PPR	Agirre et al. (2009)	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)	PPR	2011	PPR	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)				0.83				0
Taher 	emailexample@aclweb.org	Sapienza University of Rome 	RG-65 Test Collection (State of the art)	H&S	Hirst and St-Onge (1998)	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)	H&S	2011	H&S	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)				0.813				0.732
Taher 	emailexample@aclweb.org	Sapienza University of Rome 	RG-65 Test Collection (State of the art)	Roget	Jarmasz (2003)	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)	Roget	2011	Roget	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)				0.804				0.818
Taher 	emailexample@aclweb.org	Sapienza University of Rome 	RG-65 Test Collection (State of the art)	J&C	Jiang and Conrath (1997)	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)	J&C	2011	J&C	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)				0.804				0.731
Taher 	emailexample@aclweb.org	Sapienza University of Rome 	RG-65 Test Collection (State of the art)	WNE	Jarmasz (2003)	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)	WNE	2011	WNE	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)				0.801				0.787
Taher 	emailexample@aclweb.org	Sapienza University of Rome 	RG-65 Test Collection (State of the art)	L&C	Leacock and Chodorow (1998)	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)	L&C	2011	L&C	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)				0.797				0.852
Taher 	emailexample@aclweb.org	Sapienza University of Rome 	RG-65 Test Collection (State of the art)	Lin	Lin (1998)	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)	Lin	2011	Lin	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)				0.788				0.834
Taher 	emailexample@aclweb.org	Sapienza University of Rome 	RG-65 Test Collection (State of the art)	ESA*	Gabrilovich and Markovitch (2007)	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)	ESA*	2011	ESA*	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)				0.749				0.716
Taher 	emailexample@aclweb.org	Sapienza University of Rome 	RG-65 Test Collection (State of the art)	SOCPMI*	Islam and Inkpen (2006)	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)	SOCPMI*	2011	SOCPMI*	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)				0.741				0.729
Taher 	emailexample@aclweb.org	Sapienza University of Rome 	RG-65 Test Collection (State of the art)	Resnik	Resnik (1995)	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)	Resnik	2011	Resnik	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)				0.731				0.8
Taher 	emailexample@aclweb.org	Sapienza University of Rome 	RG-65 Test Collection (State of the art)	WLM	Milne and Witten (2008)	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)	WLM	2011	WLM	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)				0.64				0
Taher 	emailexample@aclweb.org	Sapienza University of Rome 	RG-65 Test Collection (State of the art)	LSA*	Landauer et al. (1997)	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)	LSA*	2011	LSA*	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)				0.609				0.644
Taher 	emailexample@aclweb.org	Sapienza University of Rome 	RG-65 Test Collection (State of the art)	WikiRelate	Strube and Ponzetto (2006)	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)	WikiRelate	2006	WikiRelate	http://aclweb.org/aclwiki/index.php?title=RG-65_Test_Collection_(State_of_the_art)				0				0.53
Philip Resnik 	philip.resnik@east.sun.com 	Sun Microsystems Laboratories 	MC-28 Test Collection (State of the art)	Human	Human upper bound	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)	Human	1995	Human	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.934				0
Philip Resnik 	philip.resnik@east.sun.com 	Sun Microsystems Laboratories 	MC-28 Test Collection (State of the art)	PPR	Agirre et al. (2009)	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)	PPR	1996	PPR	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.92				0
Philip Resnik 	philip.resnik@east.sun.com 	Sun Microsystems Laboratories 	MC-28 Test Collection (State of the art)	Gloss Vector	Patwardhan and Pedersen (2006)	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)	Gloss Vector	1997	Gloss Vector	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.91				0
Philip Resnik 	philip.resnik@east.sun.com 	Sun Microsystems Laboratories 	MC-28 Test Collection (State of the art)	JS	Jarmasz and Szpakowicz (2003)	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)	JS	1998	JS	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.87				0
Philip Resnik 	philip.resnik@east.sun.com 	Sun Microsystems Laboratories 	MC-28 Test Collection (State of the art)	SR	Tsatsaronis et al. (2010)	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)	SR	1999	SR	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.856				0
Philip Resnik 	philip.resnik@east.sun.com 	Sun Microsystems Laboratories 	MC-28 Test Collection (State of the art)	KC	Kulkarni and Caragea (2009)	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)	KC	2000	KC	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.835				0
Philip Resnik 	philip.resnik@east.sun.com 	Sun Microsystems Laboratories 	MC-28 Test Collection (State of the art)	LIN	Lin (1998)	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)	LIN	2001	LIN	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.82				0
Philip Resnik 	philip.resnik@east.sun.com 	Sun Microsystems Laboratories 	MC-28 Test Collection (State of the art)	RES	Resnik (1995)	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)	RES	2002	RES	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.81				0
Philip Resnik 	philip.resnik@east.sun.com 	Sun Microsystems Laboratories 	MC-28 Test Collection (State of the art)	DC-best	Dobó and Csirik (2013)	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)	DC-best	2003	DC-best	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.773				0
Philip Resnik 	philip.resnik@east.sun.com 	Sun Microsystems Laboratories 	MC-28 Test Collection (State of the art)	GM	Gabrilovich and Markovitch (2007)	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)	GM	2004	GM	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.72				0
Philip Resnik 	philip.resnik@east.sun.com 	Sun Microsystems Laboratories 	MC-28 Test Collection (State of the art)	WLM	Milne and Witten (2008)	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)	WLM	2005	WLM	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.7				0
Philip Resnik 	philip.resnik@east.sun.com 	Sun Microsystems Laboratories 	MC-28 Test Collection (State of the art)	SH	Sahami and Heilman (2006)	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)	SH	2009	SH	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.618				0
Felix Hill 	felix.hill@cl.cam.ac.uk 	University of Cambridge	SimLex-999 (State of the art)	Neural language model	Collobert & Weston (2008)[1]	http://aclweb.org/aclwiki/index.php?title=SimLex-999_(State_of_the_art)	Neural language model	2015	Neural language model	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.268				0
Felix Hill 	felix.hill@cl.cam.ac.uk 	University of Cambridge	SimLex-999 (State of the art)	Neural language model with global context	Huang et al. (2012)[3]	http://aclweb.org/aclwiki/index.php?title=SimLex-999_(State_of_the_art)	Neural language model with global context	2015	Neural language model with global context	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.098				0
Felix Hill 	felix.hill@cl.cam.ac.uk 	University of Cambridge	SimLex-999 (State of the art)	Word2vec	Mikolov et al. (2013)[4]	http://aclweb.org/aclwiki/index.php?title=SimLex-999_(State_of_the_art)	Word2vec	2015	Word2vec	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.414				0
Felix Hill 	felix.hill@cl.cam.ac.uk 	University of Cambridge	SimLex-999 (State of the art)	Lesk		http://aclweb.org/aclwiki/index.php?title=SimLex-999_(State_of_the_art)	Lesk	2015	Lesk	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.404				0.347
Felix Hill 	felix.hill@cl.cam.ac.uk 	University of Cambridge	SimLex-999 (State of the art)	UMBC	Han et al. (2013)[6]	http://aclweb.org/aclwiki/index.php?title=SimLex-999_(State_of_the_art)	UMBC	2015	UMBC	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.558				0.557
Felix Hill 	felix.hill@cl.cam.ac.uk 	University of Cambridge	SimLex-999 (State of the art)	SVR4	Banjade et al. (2015)[5]	http://aclweb.org/aclwiki/index.php?title=SimLex-999_(State_of_the_art)	SVR4	2015	SVR4	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.642				0.658
